month,sales,category,actual_price,product_id,product_name,base_cat,PED
January,178.65067458727202,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",2.52,B00LOD70SC,Pilot V7 Liquid Ink Roller Ball Pen (2 Blue + 1 Black),OfficeProducts,0.4048781477012071
February,152.63122356019053,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",2.52,B00LOD70SC,Pilot V7 Liquid Ink Roller Ball Pen (2 Blue + 1 Black),OfficeProducts,0.4048781477012071
March,144.00082860410762,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",2.52,B00LOD70SC,Pilot V7 Liquid Ink Roller Ball Pen (2 Blue + 1 Black),OfficeProducts,0.4048781477012071
January,119.05837334555515,Home&Kitchen|CraftMaterials|PaintingMaterials,2.76,B00LY12TH6,Camel Oil Pastel with Reusable Plastic Box - 50 Shades,Home&Kitchen,-0.2111393414700641
February,78.22102575277879,Home&Kitchen|CraftMaterials|PaintingMaterials,2.76,B00LY12TH6,Camel Oil Pastel with Reusable Plastic Box - 50 Shades,Home&Kitchen,-0.2111393414700641
March,75.30043240997367,Home&Kitchen|CraftMaterials|PaintingMaterials,2.76,B00LY12TH6,Camel Oil Pastel with Reusable Plastic Box - 50 Shades,Home&Kitchen,-0.2111393414700641
January,556.8975106845135,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",1.92,B00LZLQ624,"Classmate Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages",OfficeProducts,0.9109917488404556
February,363.5288839436724,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",1.92,B00LZLQ624,"Classmate Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages",OfficeProducts,0.9109917488404556
March,204.23178704876258,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",1.92,B00LZLQ624,"Classmate Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages",OfficeProducts,0.9109917488404556
January,219.31842534477067,Home&Kitchen|CraftMaterials|Scrapbooking|Tape,1.98,B00N1U9AJS,"3M Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, Car Interiors, Extension Boards, Wall decoration, etc)(L: 3m, W: 24mm)",Home&Kitchen,0.4151307375161546
February,160.23402189123416,Home&Kitchen|CraftMaterials|Scrapbooking|Tape,1.98,B00N1U9AJS,"3M Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, Car Interiors, Extension Boards, Wall decoration, etc)(L: 3m, W: 24mm)",Home&Kitchen,0.4151307375161546
March,133.2334608882278,Home&Kitchen|CraftMaterials|Scrapbooking|Tape,1.98,B00N1U9AJS,"3M Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, Car Interiors, Extension Boards, Wall decoration, etc)(L: 3m, W: 24mm)",Home&Kitchen,0.4151307375161546
January,78.26692631788714,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",19.8,B00O24PUO6,Orpat OEH-1260 2000-Watt Fan Heater (Grey),Home&Kitchen,0.188327652677941
February,62.53414035769673,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",19.8,B00O24PUO6,Orpat OEH-1260 2000-Watt Fan Heater (Grey),Home&Kitchen,0.188327652677941
March,47.894191588103475,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",19.8,B00O24PUO6,Orpat OEH-1260 2000-Watt Fan Heater (Grey),Home&Kitchen,0.188327652677941
January,128.76653258786908,"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",7.68,B00P0R95EA,Usha IH2415 1500-Watt Immersion Heater (Silver),Home&Kitchen,2.366291433886746
February,103.45640153250501,"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",7.68,B00P0R95EA,Usha IH2415 1500-Watt Immersion Heater (Silver),Home&Kitchen,2.366291433886746
March,87.767275553399,"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",7.68,B00P0R95EA,Usha IH2415 1500-Watt Immersion Heater (Silver),Home&Kitchen,2.366291433886746
January,150.46025025863102,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,8.04,B00SMFPJG0,"Kent Gold, Optima, Gold+ Spare Kit",Home&Kitchen,0.3627452894967927
February,131.24027869128358,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,8.04,B00SMFPJG0,"Kent Gold, Optima, Gold+ Spare Kit",Home&Kitchen,0.3627452894967927
March,126.91498468474619,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,8.04,B00SMFPJG0,"Kent Gold, Optima, Gold+ Spare Kit",Home&Kitchen,0.3627452894967927
January,318.7243596845436,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",9.6,B00UGZWM2I,COI Note Pad/Memo Book with Sticky Notes & Clip Holder with Pen for Gifting,OfficeProducts,-1.9843930104583232
February,188.93820567894073,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",9.6,B00UGZWM2I,COI Note Pad/Memo Book with Sticky Notes & Clip Holder with Pen for Gifting,OfficeProducts,-1.9843930104583232
March,104.27759363373696,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",9.6,B00UGZWM2I,COI Note Pad/Memo Book with Sticky Notes & Clip Holder with Pen for Gifting,OfficeProducts,-1.9843930104583232
January,117.94600090856646,Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,1.19,B00VA7YYUO,Apsara Platinum Pencils Value Pack - Pack of 20,Home&Kitchen,0.5447070921947722
February,78.12143293244104,Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,1.19,B00VA7YYUO,Apsara Platinum Pencils Value Pack - Pack of 20,Home&Kitchen,0.5447070921947722
March,61.49720184366384,Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,1.19,B00VA7YYUO,Apsara Platinum Pencils Value Pack - Pack of 20,Home&Kitchen,0.5447070921947722
